,Gender,Height,Weight,Index
0,0-1,140-170,50-105,0->
1,0-1,140-170,50-105,0->
2,0-1,140-170,50-105,0->
3,0-1,140-170,50-105,0->
4,0-1,140-170,50-105,0->
5,0-1,140-170,50-105,0->
6,0-1,140-170,50-105,0->
7,0-1,140-170,50-105,0->
8,0-1,140-170,50-105,0->
9,0-1,140-170,50-105,0->
10,0-1,140-170,50-105,0->
11,0-1,140-170,50-105,0->
12,0-1,140-170,50-105,0->
13,0-1,140-170,50-105,0->
14,0-1,140-170,50-105,0->
15,0-1,140-170,50-105,0->
16,0-1,140-170,50-105,0->
17,0-1,140-170,50-105,0->
18,0-1,140-170,50-105,0->
19,0-1,140-170,50-105,0->
20,0-1,140-170,50-105,0->
21,0-1,140-170,50-105,0->
22,0-1,140-170,50-105,0->
23,0-1,140-170,50-105,0->
24,0-1,140-170,50-105,0->
25,0-1,140-170,50-105,0->
26,0-1,140-170,50-105,0->
27,0-1,140-170,50-105,0->
28,0-1,140-170,50-105,0->
29,0-1,140-170,50-105,0->
30,0-1,140-170,50-105,0->
31,0-1,140-170,50-105,0->
32,0-1,140-170,50-105,0->
33,0-1,140-170,50-105,0->
34,0-1,140-170,50-105,0->
35,0-1,140-170,50-105,0->
36,0-1,140-170,50-105,0->
37,0-1,140-170,50-105,0->
38,0-1,140-170,50-105,0->
39,0-1,140-170,50-105,0->
40,0-1,140-170,50-105,0->
41,0-1,140-170,50-105,0->
42,0-1,140-170,50-105,0->
43,0-1,140-170,50-105,0->
44,0-1,140-170,50-105,0->
45,0-1,140-170,50-105,0->
46,0-1,140-170,50-105,0->
47,0-1,140-170,50-105,0->
48,0-1,140-170,50-105,0->
49,0-1,140-170,50-105,0->
50,0-1,140-170,50-105,0->
51,0-1,140-170,50-105,0->
52,0-1,140-170,50-105,0->
53,0-1,140-170,50-105,0->
54,0-1,140-170,50-105,0->
55,0-1,140-170,50-105,0->
56,0-1,140-170,50-105,0->
57,0-1,140-170,50-105,0->
58,0-1,140-170,50-105,0->
59,0-1,140-170,50-105,0->
60,0-1,140-170,50-105,0->
61,0-1,140-170,50-105,0->
62,0-1,140-170,50-105,0->
63,0-1,140-170,50-105,0->
64,0-1,140-170,50-105,0->
65,0-1,170->,50-105,0->
66,0-1,170->,50-105,0->
67,0-1,170->,50-105,0->
68,0-1,170->,50-105,0->
69,0-1,170->,50-105,0->
70,0-1,170->,50-105,0->
71,0-1,170->,50-105,0->
72,0-1,170->,50-105,0->
73,0-1,170->,50-105,0->
74,0-1,170->,50-105,0->
75,0-1,170->,50-105,0->
76,0-1,170->,50-105,0->
77,0-1,170->,50-105,0->
78,0-1,170->,50-105,0->
79,0-1,170->,50-105,0->
80,0-1,170->,50-105,0->
81,0-1,170->,50-105,0->
82,0-1,170->,50-105,0->
83,0-1,170->,50-105,0->
84,0-1,170->,50-105,0->
85,0-1,170->,50-105,0->
86,0-1,170->,50-105,0->
87,0-1,170->,50-105,0->
88,0-1,170->,50-105,0->
89,0-1,170->,50-105,0->
90,0-1,170->,50-105,0->
91,0-1,170->,50-105,0->
92,0-1,170->,50-105,0->
93,0-1,170->,50-105,0->
94,0-1,170->,50-105,0->
95,0-1,170->,50-105,0->
96,0-1,170->,50-105,0->
97,0-1,170->,50-105,0->
98,0-1,170->,50-105,0->
99,0-1,170->,50-105,0->
100,0-1,170->,50-105,0->
101,0-1,170->,50-105,0->
102,0-1,170->,50-105,0->
103,0-1,170->,50-105,0->
104,0-1,170->,50-105,0->
105,0-1,170->,50-105,0->
106,0-1,170->,50-105,0->
107,0-1,170->,50-105,0->
108,0-1,170->,50-105,0->
109,0-1,170->,50-105,0->
110,0-1,170->,50-105,0->
111,0-1,170->,50-105,0->
112,0-1,170->,50-105,0->
113,0-1,170->,50-105,0->
114,0-1,170->,50-105,0->
115,0-1,170->,50-105,0->
116,0-1,170->,50-105,0->
117,0-1,170->,50-105,0->
118,0-1,170->,50-105,0->
119,0-1,170->,50-105,0->
120,0-1,170->,50-105,0->
121,0-1,170->,50-105,0->
122,0-1,170->,50-105,0->
123,0-1,170->,50-105,0->
124,0-1,170->,50-105,0->
125,1->,140-170,50-105,0->
126,1->,140-170,50-105,0->
127,1->,140-170,50-105,0->
128,1->,140-170,50-105,0->
129,1->,140-170,50-105,0->
130,1->,140-170,50-105,0->
131,1->,140-170,50-105,0->
132,1->,140-170,50-105,0->
133,1->,140-170,50-105,0->
134,1->,140-170,50-105,0->
135,1->,140-170,50-105,0->
136,1->,140-170,50-105,0->
137,1->,140-170,50-105,0->
138,1->,140-170,50-105,0->
139,1->,140-170,50-105,0->
140,1->,140-170,50-105,0->
141,1->,140-170,50-105,0->
142,1->,140-170,50-105,0->
143,1->,140-170,50-105,0->
144,1->,140-170,50-105,0->
145,1->,140-170,50-105,0->
146,1->,140-170,50-105,0->
147,1->,140-170,50-105,0->
148,1->,140-170,50-105,0->
149,1->,140-170,50-105,0->
150,1->,140-170,50-105,0->
151,1->,140-170,50-105,0->
152,1->,140-170,50-105,0->
153,1->,140-170,50-105,0->
154,1->,140-170,50-105,0->
155,1->,140-170,50-105,0->
156,1->,140-170,50-105,0->
157,1->,140-170,50-105,0->
158,1->,140-170,50-105,0->
159,1->,140-170,50-105,0->
160,1->,140-170,50-105,0->
161,1->,140-170,50-105,0->
162,1->,140-170,50-105,0->
163,1->,140-170,50-105,0->
164,1->,140-170,50-105,0->
165,1->,140-170,50-105,0->
166,1->,140-170,50-105,0->
